transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
106.0,2025/01/01,11:01:48,1.0,3.0,Astoria,22.0,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
107.0,2025/01/01,11:01:58,1.0,3.0,Astoria,38.0,3.75,Coffee,Barista Espresso,Latte
108.0,2025/01/01,11:01:58,1.0,3.0,Astoria,75.0,3.5,Bakery,Pastry,Croissant
112.0,2025/01/01,11:08:11,1.0,3.0,Astoria,59.0,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
114.0,2025/01/01,11:09:01,1.0,3.0,Astoria,59.0,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
115.0,2025/01/01,11:10:21,1.0,3.0,Astoria,47.0,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg
116.0,2025/01/01,11:10:21,1.0,3.0,Astoria,79.0,3.75,Bakery,Scone,Jumbo Savory Scone
117.0,2025/01/01,11:10:58,1.0,3.0,Astoria,46.0,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
118.0,2025/01/01,11:12:29,1.0,3.0,Astoria,43.0,3.0,Tea,Brewed herbal tea,Lemon Grass Lg
119.0,2025/01/01,11:16:02,2.0,3.0,Astoria,45.0,3.0,Tea,Brewed herbal tea,Peppermint Lg
122.0,2025/01/01,11:21:14,1.0,3.0,Astoria,60.0,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
126.0,2025/01/01,11:25:35,2.0,3.0,Astoria,49.0,3.0,Tea,Brewed Black tea,English Breakfast Lg
129.0,2025/01/01,11:28:29,2.0,3.0,Astoria,33.0,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
141.0,2025/01/01,11:40:26,2.0,3.0,Astoria,52.0,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
142.0,2025/01/01,11:43:57,2.0,3.0,Astoria,25.0,2.2,Coffee,Organic brewed coffee,Brazilian Sm
144.0,2025/01/01,11:47:13,1.0,3.0,Astoria,30.0,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148.0,2025/01/01,11:50:16,2.0,3.0,Astoria,26.0,3.0,Coffee,Organic brewed coffee,Brazilian Rg
149.0,2025/01/01,11:50:23,2.0,3.0,Astoria,36.0,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
153.0,2025/01/01,11:57:17,2.0,3.0,Astoria,37.0,3.0,Coffee,Barista Espresso,Espresso shot
154.0,2025/01/01,11:57:59,1.0,3.0,Astoria,50.0,2.5,Tea,Brewed Black tea,Earl Grey Rg
155.0,2025/01/01,11:57:59,1.0,3.0,Astoria,79.0,3.75,Bakery,Scone,Jumbo Savory Scone
156.0,2025/01/01,11:58:15,2.0,3.0,Astoria,60.0,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
158.0,2025/01/01,12:01:00,2.0,3.0,Astoria,49.0,3.0,Tea,Brewed Black tea,English Breakfast Lg
159.0,2025/01/01,12:01:20,2.0,3.0,Astoria,35.0,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
160.0,2025/01/01,12:01:20,1.0,3.0,Astoria,75.0,3.5,Bakery,Pastry,Croissant
163.0,2025/01/01,12:03:43,1.0,3.0,Astoria,44.0,2.5,Tea,Brewed herbal tea,Peppermint Rg
165.0,2025/01/01,12:05:31,2.0,3.0,Astoria,52.0,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
170.0,2025/01/01,12:09:11,2.0,3.0,Astoria,28.0,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
176.0,2025/01/01,12:18:44,2.0,3.0,Astoria,49.0,3.0,Tea,Brewed Black tea,English Breakfast Lg
177.0,2025/01/01,12:20:16,2.0,3.0,Astoria,60.0,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
178.0,2025/01/01,12:23:39,1.0,3.0,Astoria,24.0,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg
180.0,2025/01/01,12:30:46,2.0,3.0,Astoria,44.0,2.5,Tea,Brewed herbal tea,Peppermint Rg
182.0,2025/01/01,12:33:20,2.0,3.0,Astoria,54.0,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
183.0,2025/01/01,12:33:35,2.0,3.0,Astoria,29.0,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
187.0,2025/01/01,12:42:26,1.0,3.0,Astoria,53.0,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg
189.0,2025/01/01,12:44:31,1.0,3.0,Astoria,53.0,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg
190.0,2025/01/01,12:44:32,1.0,3.0,Astoria,52.0,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
191.0,2025/01/01,12:45:52,2.0,3.0,Astoria,28.0,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
192.0,2025/01/01,12:46:22,1.0,3.0,Astoria,56.0,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
193.0,2025/01/01,12:46:26,1.0,3.0,Astoria,23.0,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
194.0,2025/01/01,12:46:55,1.0,3.0,Astoria,33.0,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
195.0,2025/01/01,12:46:55,1.0,3.0,Astoria,75.0,3.5,Bakery,Pastry,Croissant
196.0,2025/01/01,12:48:08,2.0,3.0,Astoria,38.0,3.75,Coffee,Barista Espresso,Latte
198.0,2025/01/01,12:50:15,1.0,3.0,Astoria,59.0,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
199.0,2025/01/01,12:50:28,2.0,3.0,Astoria,32.0,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
207.0,2025/01/01,12:55:25,1.0,3.0,Astoria,49.0,3.0,Tea,Brewed Black tea,English Breakfast Lg
212.0,2025/01/01,12:56:33,1.0,3.0,Astoria,61.0,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
213.0,2025/01/01,12:56:59,1.0,3.0,Astoria,47.0,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg
214.0,2025/01/01,12:58:54,2.0,3.0,Astoria,44.0,2.5,Tea,Brewed herbal tea,Peppermint Rg
221.0,2025/01/01,13:03:13,2.0,3.0,Astoria,43.0,3.0,Tea,Brewed herbal tea,Lemon Grass Lg
226.0,2025/01/01,13:04:51,1.0,3.0,Astoria,22.0,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
227.0,2025/01/01,13:05:56,1.0,3.0,Astoria,58.0,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
229.0,2025/01/01,13:09:03,1.0,3.0,Astoria,35.0,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
233.0,2025/01/01,13:17:32,2.0,3.0,Astoria,55.0,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
237.0,2025/01/01,13:19:36,1.0,3.0,Astoria,23.0,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
239.0,2025/01/01,13:20:51,2.0,3.0,Astoria,35.0,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
240.0,2025/01/01,13:21:23,2.0,3.0,Astoria,38.0,3.75,Coffee,Barista Espresso,Latte
242.0,2025/01/01,13:22:45,2.0,3.0,Astoria,46.0,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
243.0,2025/01/01,13:23:54,2.0,3.0,Astoria,58.0,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
248.0,2025/01/01,13:34:12,2.0,3.0,Astoria,28.0,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
252.0,2025/01/01,13:40:47,2.0,3.0,Astoria,54.0,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
253.0,2025/01/01,13:41:09,2.0,3.0,Astoria,42.0,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
254.0,2025/01/01,13:42:10,1.0,3.0,Astoria,43.0,3.0,Tea,Brewed herbal tea,Lemon Grass Lg
258.0,2025/01/01,13:43:18,2.0,3.0,Astoria,54.0,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
259.0,2025/01/01,13:43:18,1.0,3.0,Astoria,69.0,3.25,Bakery,Biscotti,Hazelnut Biscotti
261.0,2025/01/01,13:44:26,1.0,3.0,Astoria,57.0,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
267.0,2025/01/01,13:53:04,2.0,3.0,Astoria,38.0,3.75,Coffee,Barista Espresso,Latte
276.0,2025/01/01,13:58:10,2.0,3.0,Astoria,46.0,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
281.0,2025/01/01,14:03:41,1.0,3.0,Astoria,32.0,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
282.0,2025/01/01,14:07:12,2.0,3.0,Astoria,41.0,4.25,Coffee,Barista Espresso,Cappuccino Lg
